-2,-5,NULL
-2,-4,NULL
-2,-3,3130389643340665556
-2,-2,8040569655526550859
-2,-1,-3436458247261476354
-2,0,NULL
-1,-5,NULL
-1,-4,NULL
-1,-3,1579229827153264303
-1,-2,-5099405772280283592
-1,-1,1848375700409701253
-1,0,1882027046846998758
0,-5,NULL
0,-4,-2125578084639514599
0,-3,6479054803964046496
0,-2,-453218904850105241
0,-1,-9212049260166914619
0,0,-8114935112104051937
1,-5,5940988761253498328
1,-4,-2151407117066425744
1,-3,-6627892176042776921
1,-2,-3913276020885500120
1,-1,-1035695729318513480
1,0,4525502016573417996
2,-5,-351534566957934060
2,-4,5228769773137405770
2,-3,-7816348551513758219
2,-2,-1886285987849720205
2,-1,5174992452612968814
2,0,9018643654236656963
3,-5,-2291408014295785419
3,-4,4101969449738556839
3,-3,-5227503498238275699
3,-2,4151161283689457001
3,-1,NULL
3,0,NULL
